0.104,-0.387,0.060,3.906,18.738,22.766
0.101,-0.431,0.046,5.371,13.855,18.250
-0.010,-1.621,-0.414,-30.457,-0.427,0.916
-0.008,-1.633,-0.416,-50.232,-2.747,11.414
0.009,-1.615,-0.412,-60.730,-3.235,16.724
0.019,-1.584,-0.408,-82.825,-3.418,25.818
0.042,-1.471,-0.391,-93.323,-2.930,28.687
0.051,-1.400,-0.378,-108.215,-1.831,32.593
0.060,-1.230,-0.334,-110.107,-1.465,39.795
0.064,-1.138,-0.296,-110.291,-1.343,51.208
0.060,-1.035,-0.255,-108.398,-0.977,76.843
0.028,-0.846,-0.169,-103.821,-1.404,88.562
0.007,-0.761,-0.129,-90.149,-2.380,104.675
-0.022,-0.578,-0.068,-82.886,0.122,110.535
-0.025,-0.489,-0.047,-69.702,13.245,113.464
-0.013,-0.335,0.010,-59.570,20.569,111.877
-0.001,-0.283,0.040,-30.884,26.672,109.680
0.026,-0.244,0.084,-18.433,27.832,106.934
0.047,-0.257,0.109,-10.132,29.236,101.196
0.070,-0.280,0.130,-2.258,26.672,78.430
0.106,-0.340,0.137,0.061,22.827,63.232
-0.146,-1.701,-0.319,1.587,7.141,-34.851
-0.173,-1.807,-0.348,-18.616,5.432,-32.104
-0.233,-1.937,-0.409,-33.264,3.784,-26.733
-0.250,-1.942,-0.422,-63.904,1.953,-0.916
-0.228,-1.828,-0.416,-78.552,1.526,18.433
-0.191,-1.724,-0.408,-104.126,0.854,55.237
-0.108,-1.473,-0.386,-115.723,1.221,66.833
-0.066,-1.320,-0.364,-126.099,2.502,74.158
-0.022,-1.159,-0.335,-135.742,6.165,89.844
0.065,-0.855,-0.271,-136.108,7.996,97.534
0.098,-0.707,-0.231,-126.770,9.155,106.567
0.156,-0.446,-0.136,-117.249,7.751,107.361
0.168,-0.343,-0.086,-93.323,2.197,103.394
0.148,-0.196,0.008,-80.444,1.160,101.013
0.129,-0.151,0.047,-67.871,2.869,95.764
0.111,-0.128,0.083,-41.260,9.705,74.524
0.097,-0.131,0.128,-28.259,10.925,61.279
0.094,-0.156,0.137,-8.423,10.315,35.095
0.090,-0.256,0.135,-1.465,8.423,22.461
-0.118,-1.701,-0.420,-5.615,3.113,-46.997
-0.141,-1.779,-0.441,-26.428,5.737,-41.077
-0.173,-1.874,-0.469,-36.987,6.287,-34.363
-0.181,-1.896,-0.475,-60.303,5.981,-16.785
-0.173,-1.835,-0.477,-75.195,5.188,-6.287
-0.164,-1.744,-0.471,-103.821,3.784,17.883
-0.143,-1.485,-0.427,-113.586,3.418,31.555
-0.125,-1.331,-0.387,-119.141,3.418,47.363
-0.097,-1.021,-0.300,-125.610,5.920,80.261
-0.089,-0.871,-0.264,-126.587,7.202,95.215
-0.084,-0.732,-0.234,-118.347,5.859,112.854
-0.087,-0.487,-0.179,-108.154,5.859,114.746
-0.083,-0.389,-0.144,-85.632,13.367,114.929
-0.068,-0.236,-0.055,-75.317,18.921,115.845
-0.059,-0.181,-0.006,-52.917,22.278,112.122
-0.061,-0.109,0.052,-42.114,21.484,104.248
-0.063,-0.086,0.066,-24.170,24.841,79.895
-0.030,-0.110,0.104,-14.954,24.231,66.040
-0.001,-0.159,0.116,-6.775,20.081,51.758
-0.147,-1.645,-0.374,-4.700,12.024,-43.030
-0.177,-1.743,-0.383,-20.508,9.277,-43.335
-0.240,-1.935,-0.402,-32.532,9.399,-43.396
-0.278,-2.000,-0.435,-67.444,11.597,-38.452
-0.326,-2.026,-0.519,-87.219,13.672,-30.701
-0.318,-1.956,-0.543,-127.991,17.151,-2.808
-0.254,-1.630,-0.539,-142.395,17.517,23.437
-0.211,-1.433,-0.510,-151.062,17.029,57.434
-0.171,-1.235,-0.462,-155.518,14.709,127.686
-0.126,-0.823,-0.327,-154.297,11.475,153.076
-0.129,-0.596,-0.248,-138.489,4.395,180.603
-0.128,-0.198,-0.072,-123.962,5.127,185.974
-0.108,-0.035,0.005,-86.426,15.747,177.856
-0.050,0.171,0.129,-63.599,19.165,169.800
-0.031,0.211,0.161,-19.226,17.883,148.437
-0.014,0.174,0.180,-1.465,17.761,130.432
-0.001,0.116,0.174,12.512,18.005,105.103
0.020,0.041,0.156,28.748,17.700,42.786
0.069,-0.149,0.108,31.311,16.602,13.916
